C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0005488979,0001852761                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0005488990,0001852773                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0005489065,0001852887                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0005489315,0001852967                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0005489702,0001853033                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0005489979,0001853063                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0005490074,0001853072                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0005490088,0001853084                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0005490135,0001853160                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0005490313,0001853230                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0005490571,0001853293                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0005490724,0001853323                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0005490762,0001853329                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0005490778,0001853368                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0005490965,0001853712                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0005491203,0001853795                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0005492141,0001853879                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0005492452,0001853923                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0005492498,0001853927                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0005492512,0001853970                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0005492669,0001854354                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0005492885,0001854431                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0005493909,0001854531                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0005494235,0001854579                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0005494262,0001854586                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0005494272,0001854620                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0005494443,0001854994                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0005494701,0001855073                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0005495714,0001855168                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0005496090,0001855221                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0005496122,0001855232                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0005496136,0001855261                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0005496320,0001855666                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0005496582,0001855761                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0005497529,0001855863                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0005497952,0001855912                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0005497990,0001855919                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0005498001,0001855955                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0005498176,0001856311                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0005498450,0001856385                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0005499407,0001856471                                             
A002,R051,02-00-00,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0005499752,0001856527                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0005053015,0001103467                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0005053026,0001103475                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,11:00:00,REGULAR,0005053099,0001103531                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,15:00:00,REGULAR,0005053330,0001103584                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,19:00:00,REGULAR,0005053667,0001103648                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/09/2016,23:00:00,REGULAR,0005053869,0001103673                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,03:00:00,REGULAR,0005053959,0001103689                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,07:00:00,REGULAR,0005053965,0001103694                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,11:00:00,REGULAR,0005054008,0001103731                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,15:00:00,REGULAR,0005054146,0001103766                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,19:00:00,REGULAR,0005054359,0001103808                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/10/2016,23:00:00,REGULAR,0005054490,0001103829                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,03:00:00,REGULAR,0005054521,0001103832                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,07:00:00,REGULAR,0005054529,0001103842                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,11:00:00,REGULAR,0005054737,0001104015                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,15:00:00,REGULAR,0005054958,0001104080                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,19:00:00,REGULAR,0005055748,0001104147                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/11/2016,23:00:00,REGULAR,0005056064,0001104180                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,03:00:00,REGULAR,0005056095,0001104184                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,07:00:00,REGULAR,0005056110,0001104198                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,11:00:00,REGULAR,0005056309,0001104363                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,15:00:00,REGULAR,0005056528,0001104420                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,19:00:00,REGULAR,0005057316,0001104489                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/12/2016,23:00:00,REGULAR,0005057571,0001104515                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,03:00:00,REGULAR,0005057594,0001104515                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,07:00:00,REGULAR,0005057607,0001104520                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,11:00:00,REGULAR,0005057770,0001104688                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,15:00:00,REGULAR,0005058026,0001104749                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,19:00:00,REGULAR,0005058908,0001104831                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/13/2016,23:00:00,REGULAR,0005059175,0001104864                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,03:00:00,REGULAR,0005059197,0001104870                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,07:00:00,REGULAR,0005059210,0001104884                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,11:00:00,REGULAR,0005059367,0001105034                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,15:00:00,REGULAR,0005059553,0001105088                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,19:00:00,REGULAR,0005060347,0001105151                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/14/2016,23:00:00,REGULAR,0005060644,0001105174                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,03:00:00,REGULAR,0005060683,0001105177                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,07:00:00,REGULAR,0005060691,0001105186                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,11:00:00,REGULAR,0005060852,0001105355                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,15:00:00,REGULAR,0005061051,0001105411                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,19:00:00,REGULAR,0005061804,0001105481                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,01/15/2016,23:00:00,REGULAR,0005062098,0001105508                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,03:00:00,REGULAR,0000628239,0002368529                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,01/09/2016,07:00:00,REGULAR,0000628246,0002368569                                             
